"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
0,0,0,1e-10,0,40116,-0.078299,2.0497,-5.5511e-17,2.25
-0.0054759,6.8608e-06,-0.00034657,1.4519e-07,8.4916e-12,23399,-0.078299,2.0497,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.078115,2.0977,-5.5511e-17,2.25
-0.006111,5.9862e-06,-0.00033983,1.7987e-07,1.0419e-11,23399,-0.078115,2.0978,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.077812,2.1458,-5.5511e-17,2.25
-0.0066512,5.2451e-06,-0.00033062,2.1286e-07,1.2278e-11,23399,-0.077811,2.1458,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.077375,2.1938,-5.5511e-17,2.25
-0.0071285,4.6165e-06,-0.00031966,2.4458e-07,1.4083e-11,23399,-0.077374,2.1938,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.07683,2.2419,-5.5511e-17,2.25
-0.0075436,4.0976e-06,-0.00030736,2.7436e-07,1.5805e-11,23399,-0.07683,2.2419,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.076179,2.2899,-5.5511e-17,2.25
-0.0079119,3.6556e-06,-0.00029406,3.025e-07,1.7454e-11,23399,-0.076178,2.2899,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.075435,2.3379,-5.5511e-17,2.25
-0.0082375,3.2843e-06,-0.00027981,3.2885e-07,1.9024e-11,23399,-0.075434,2.338,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.0746,2.386,-5.5511e-17,2.25
-0.0085283,2.9551e-06,-0.00026473,3.5359e-07,2.0522e-11,23399,-0.074599,2.386,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.073684,2.434,-5.5511e-17,2.25
-0.0087878,2.6758e-06,-0.0002489,3.7674e-07,2.1948e-11,23399,-0.073683,2.4341,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.072688,2.4821,-5.5511e-17,2.25
-0.0090203,2.424e-06,-0.0002324,3.9841e-07,2.3306e-11,23399,-0.072688,2.4821,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.07162,2.5301,1.1367e-16,2.25
-0.0092279,2.2151e-06,-0.00021525,4.1859e-07,2.4597e-11,23399,-0.071619,2.5302,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.070481,2.5782,-5.5511e-17,2.25
-0.009413,2.0197e-06,-0.00019755,4.3734e-07,2.5823e-11,23399,-0.07048,2.5782,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.069276,2.6262,2.8284e-16,2.25
-0.0095769,1.8323e-06,-0.00017939,4.5466e-07,2.6983e-11,23399,-0.069275,2.6263,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.068009,2.6743,-5.5511e-17,2.25
-0.0097213,1.6535e-06,-0.00016079,4.7058e-07,2.8078e-11,23399,-0.068008,2.6743,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.066682,2.7223,-5.5511e-17,2.25
-0.0098471,1.4778e-06,-0.00014177,4.8512e-07,2.9109e-11,23399,-0.066681,2.7223,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.065299,2.7704,-3.9386e-16,2.25
-0.0099556,1.3076e-06,-0.00012231,4.983e-07,3.0076e-11,23399,-0.065299,2.7704,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.063864,2.8184,-5.5511e-17,2.25
