y,T01_0,T01_1,T01_2,T01_3,T01_4,T01_5,T02_0,T02_1,T02_2,T02_3,T02_4,T02_5,T03_0,T03_1,T03_2,T03_3,T03_4,T03_5
0.28510649,1.5232229e-18,2.0523699e-18,6.8589622e-17,-7.6161156e-19,0,-7.6161156e-19,-3.0969334e-32,-3.1390623e-34,5.39048e-34,7.3275308e-33,7.5773201e-33,2.3641803e-32,5.3496681e-33,-1.0463541e-34,1.7968267e-34,-6.7534022e-33,3.78866e-33,1.4037341e-33
0.30308795,-2.0784134e-18,1.7836083e-17,3.4810013e-18,1.0392066e-18,0,1.0392066e-18,-5.040745e-32,1.0525578e-34,1.0026605e-34,5.758796e-33,5.0914883e-33,4.4648654e-32,8.6896819e-33,3.5085259e-35,3.3422025e-35,-1.4067305e-32,2.5457441e-33,5.3776235e-33
0.32214876,-7.8468417e-18,7.4149792e-18,-6.4212001e-17,3.9234209e-18,0,3.9234209e-18,-2.1797072e-32,-1.8775696e-34,-4.6559446e-34,7.7311684e-34,-2.3891993e-33,2.1023955e-32,4.0006213e-33,-6.2585651e-35,-1.5519815e-34,-7.0630203e-33,-1.1945996e-33,3.0623989e-33
0.34235371,-3.451919e-18,5.1730068e-18,-4.1602769e-22,1.7259596e-18,0,1.7259596e-18,-1.6755585e-33,1.5798124e-34,8.4059889e-38,1.6755584e-33,0,7.2040193e-41,4.5406466e-34,5.2660412e-35,2.8019963e-38,1.9185725e-34,0,-6.4592191e-34
0.36377149,2.5884785e-18,5.3256882e-18,4.2928345e-21,-1.2942392e-18,0,-1.2942392e-18,-3.5826365e-33,-2.8775472e-34,4.0967837e-37,3.5826349e-33,-1.6608867e-36,1.5621643e-39,6.5358408e-34,-9.5918239e-35,1.3655946e-37,5.688663e-34,-8.3044332e-37,-1.2224504e-33
0.38647488,-1.7978134e-19,1.5768108e-17,1.6994932e-22,8.9890705e-20,0,8.9890705e-20,-5.7492044e-33,-4.0750075e-34,4.5738932e-37,5.7492028e-33,-1.6690024e-36,1.6548796e-39,1.0181064e-33,-1.3583358e-34,1.5246311e-37,9.282471e-34,-8.345012e-37,-1.9463535e-33
0.41054106,-8.4492082e-18,-3.8851183e-18,-2.4574071e-22,4.2246041e-18,0,4.2246041e-18,-5.3673994e-33,4.1343076e-34,-1.4265125e-37,5.3673992e-33,-1.8695287e-37,2.0267056e-40,1.0703916e-33,1.3781025e-34,-4.7550419e-38,8.06654e-34,-9.3476435e-38,-1.8770455e-33
0.43605183,-7.5230947e-18,-9.73597e-19,-1.0647563e-16,3.7615473e-18,0,3.7615473e-18,-6.5751496e-32,1.3503158e-34,3.7822341e-34,4.9191842e-33,-7.7449425e-33,6.0832313e-32,1.1140235e-32,4.5010525e-35,1.2607448e-34,-1.9548399e-32,-3.8724712e-33,8.4081645e-33
0.46309391,-9.5881821e-19,2.2120451e-17,-4.8193969e-18,4.7940912e-19,0,4.7940912e-19,-1.2236273e-31,-3.6217367e-34,1.6967945e-33,7.2508802e-33,-1.2649289e-33,1.1511185e-31,2.0538008e-32,-1.2072456e-34,5.6559819e-34,-3.7234246e-32,-6.3246443e-34,1.6696238e-32
0.49175922,-2.9793552e-18,-5.012911e-18,9.9520474e-17,1.4896774e-18,0,1.4896774e-18,-5.9250215e-32,-5.2570653e-34,1.3477655e-33,4.8807391e-33,6.3407078e-33,5.4369475e-32,1.0227196e-32,-1.7523551e-34,4.4925518e-34,-1.7485782e-32,3.1703539e-33,7.2585857e-33
