y,R_0,R_1,R_2,R_3,R_4,R_5,RB_0,RB_1,RB_2,RB_3,RB_4,RB_5
1.7637046,0.026851061,-0.01089048,8.0757084e-17,0.025012853,-5.8089926e-19,0.025931981,0.026851061,-0.010890481,8.0757087e-17,0.025012853,-5.8089929e-19,0.025931981
1.836553,0.02513154,-0.0098712196,7.1561665e-21,0.023567597,1.0025377e-22,0.024349587,0.02513154,-0.0098712196,7.1561629e-21,0.023567597,1.0025379e-22,0.024349587
1.9052762,0.023610629,-0.0089352133,4.5111698e-20,0.022289045,-2.3490107e-22,0.022949883,0.023610629,-0.0089352133,4.5111696e-20,0.022289045,-2.3490105e-22,0.022949883
1.9701079,0.022256646,-0.0080731565,-6.0191881e-16,0.021143074,7.7393363e-19,0.021699897,0.022256646,-0.0080731564,-6.0191881e-16,0.021143074,7.7393363e-19,0.021699897
2.0312683,0.021041714,-0.0072761836,1.5564865e-17,0.020103651,-4.4556889e-20,0.020572733,0.021041714,-0.0072761836,1.5564866e-17,0.020103651,-4.4556889e-20,0.020572733
2.0889654,0.019943011,-0.0065364353,6.243881e-16,0.01915124,-7.7676296e-19,0.019547187,0.019943011,-0.0065364353,6.243881e-16,0.01915124,-7.7676296e-19,0.019547187
2.1433953,0.018942383,-0.0058475235,-1.0769755e-16,0.018271284,2.9215327e-19,0.018606891,0.018942383,-0.0058475235,-1.0769755e-16,0.018271284,2.9215326e-19,0.018606891
2.194743,0.018025267,-0.0052042922,2.0474681e-17,0.017453018,-6.912211e-21,0.01773919,0.018025267,-0.0052042921,2.047468e-17,0.017453018,-6.9122153e-21,0.01773919
2.2431831,0.017179961,-0.0046024469,1.0278563e-16,0.016688471,-2.7903389e-19,0.016934255,0.017179961,-0.0046024469,1.0278564e-16,0.016688471,-2.7903389e-19,0.016934255
2.2888801,0.01639736,-0.0040384004,-3.735801e-20,0.015971785,-7.5661399e-23,0.016184601,0.01639736,-0.0040384004,-3.7358008e-20,0.015971785,-7.5661406e-23,0.016184601
2.3319895,0.015670308,-0.0035091075,-9.1920577e-21,0.015298568,-1.8133574e-22,0.015484461,0.015670308,-0.0035091075,-9.1920598e-21,0.015298568,-1.8133575e-22,0.015484461
2.3726577,0.014993064,-0.0030119042,5.359968e-21,0.014665363,-1.8346403e-22,0.014829232,0.014993064,-0.0030119042,5.3599634e-21,0.014665363,-1.8346401e-22,0.014829232
2.411023,0.014361056,-0.0025443905,5.7230196e-20,0.014069486,-1.6852848e-22,0.014215283,0.014361056,-0.0025443905,5.7230196e-20,0.014069486,-1.6852846e-22,0.014215283
2.4472159,0.013770637,-0.0021043948,6.0398528e-16,0.013508848,2.5962305e-19,0.01363975,0.013770637,-0.0021043948,6.039853e-16,0.013508848,2.5962305e-19,0.01363975
2.4813592,0.013218925,-0.0016899289,-2.396053e-18,0.012981837,4.3819762e-21,0.013100387,0.013218925,-0.0016899289,-2.3960345e-18,0.012981837,4.3819794e-21,0.013100387
2.5135691,0.012703678,-0.0012991191,-5.9569848e-16,0.012487239,-2.731126e-19,0.012595463,0.012703678,-0.0012991191,-5.9569848e-16,0.012487239,-2.731126e-19,0.012595463
