x,y,z,U_0,U_1,U_2
2.36887,0.498402,0.05,0.00364724,-0.00108794,-1.35229e-22
2.36887,0.501441,0.05,0.0037197,-0.00109789,-1.03086e-22
2.36887,0.50448,0.05,0.00379217,-0.00110785,-7.09425e-23
2.36887,0.50752,0.05,0.00386464,-0.00111781,-3.87995e-23
2.36887,0.510559,0.05,0.0039371,-0.00112777,-6.65639e-24
2.36887,0.513598,0.05,0.0040147,-0.00113754,-5.51554e-24
2.36887,0.516637,0.05,0.00409026,-0.00114772,-7.42808e-24
2.36887,0.519676,0.05,0.00416118,-0.00115863,-6.37901e-24
2.36887,0.522715,0.05,0.00423553,-0.00116873,-2.11138e-24
2.36887,0.525754,0.05,0.00431056,-0.00117866,2.80415e-24
2.36887,0.528793,0.05,0.0043856,-0.0011886,7.71967e-24
2.36887,0.531832,0.05,0.00446063,-0.00119853,1.26352e-23
2.36887,0.534871,0.05,0.0045376,-0.00120844,1.71056e-23
2.36887,0.53791,0.05,0.00461869,-0.0012183,2.06277e-23
2.36887,0.540949,0.05,0.00469421,-0.0012288,1.89581e-23
2.36887,0.543988,0.05,0.00476819,-0.00123943,1.51939e-23
2.36887,0.547027,0.05,0.00484578,-0.00124927,8.80285e-24
2.36887,0.550066,0.05,0.00492336,-0.00125912,2.4118e-24
2.36887,0.553105,0.05,0.00500094,-0.00126896,-3.97926e-24
2.36887,0.556144,0.05,0.00507853,-0.00127881,-1.03703e-23
2.36887,0.559183,0.05,0.0051596,-0.00128868,2.26055e-24
2.36887,0.562222,0.05,0.00524335,-0.00129857,2.9514e-23
2.36887,0.565261,0.05,0.00532037,-0.00130898,3.03584e-24
2.36887,0.5683,0.05,0.00539715,-0.00131933,-3.74575e-23
2.36887,0.571339,0.05,0.00547723,-0.00132902,-1.20236e-22
2.36887,0.574378,0.05,0.00555731,-0.00133871,-2.03015e-22
2.36887,0.577417,0.05,0.00563739,-0.0013484,-2.85794e-22
2.36887,0.580456,0.05,0.00571747,-0.00135809,-3.68572e-22
2.36887,0.583495,0.05,0.00580132,-0.00136786,-4.73093e-22
2.36887,0.586535,0.05,0.00588767,-0.00137768,-5.9201e-22
2.36887,0.589574,0.05,0.00596769,-0.00138779,-7.69045e-22
2.36887,0.592613,0.05,0.00604642,-0.00139796,-9.57938e-22
2.36887,0.595652,0.05,0.00612886,-0.00140742,-8.79132e-22
2.36887,0.598691,0.05,0.00621134,-0.00141688,-7.974e-22
2.36887,0.60173,0.05,0.00629382,-0.00142634,-7.15669e-22
2.36887,0.604769,0.05,0.0063763,-0.00143579,-6.33937e-22
2.36887,0.607808,0.05,0.0064615,-0.00144533,-4.6618e-22
2.36887,0.610847,0.05,0.00655032,-0.00145498,-1.8349e-22
2.36887,0.613886,0.05,0.00663485,-0.00146471,1.29618e-22
2.36887,0.616925,0.05,0.00671597,-0.0014745,4.66899e-22
2.36887,0.619964,0.05,0.00679931,-0.0014839,6.22786e-22
2.36887,0.623003,0.05,0.00688405,-0.00149304,6.64594e-22
2.36887,0.626042,0.05,0.00696878,-0.00150218,7.06401e-22
2.36887,0.629081,0.05,0.00705351,-0.00151132,7.48209e-22
2.36887,0.63212,0.05,0.00713853,-0.00152047,7.77693e-22
2.36887,0.635159,0.05,0.00722965,-0.00152983,5.46014e-22
2.36887,0.638198,0.05,0.00732019,-0.00153919,3.25699e-22
2.36887,0.641237,0.05,0.00740352,-0.00154854,2.50248e-22
2.36887,0.644276,0.05,0.00748693,-0.00155787,1.75734e-22
2.36887,0.647315,0.05,0.00757372,-0.00156661,1.36083e-22
2.36887,0.650354,0.05,0.0076605,-0.00157535,9.64321e-23
2.36887,0.653393,0.05,0.00774728,-0.00158409,5.67811e-23
2.36887,0.656432,0.05,0.00783406,-0.00159283,1.71301e-23
2.36887,0.659471,0.05,0.00792372,-0.00160167,9.65914e-24
2.36887,0.662511,0.05,0.00801687,-0.00161062,4.10047e-23
2.36887,0.66555,0.05,0.00810703,-0.00161952,4.52349e-23
2.36887,0.668589,0.05,0.00819232,-0.00162835,4.89753e-24
2.36887,0.671628,0.05,0.00827834,-0.00163705,-2.62894e-23
2.36887,0.674667,0.05,0.0083669,-0.0016453,-2.63887e-23
2.36887,0.677706,0.05,0.00845546,-0.00165355,-2.6488e-23
2.36887,0.680745,0.05,0.00854402,-0.0016618,-2.65873e-23
2.36887,0.683784,0.05,0.00863258,-0.00167004,-2.66867e-23
2.36887,0.686823,0.05,0.00872523,-0.00167841,-1.96121e-23
2.36887,0.689862,0.05,0.00882006,-0.00168683,-8.73919e-24
2.36887,0.692901,0.05,0.00891113,-0.00169516,-6.43529e-25
2.36887,0.69594,0.05,0.00899805,-0.00170339,4.38627e-24
2.36887,0.698979,0.05,0.00908564,-0.0017115,8.55257e-24
2.36887,0.702018,0.05,0.00917563,-0.00171917,9.65106e-24
2.36887,0.705057,0.05,0.00926562,-0.00172684,1.07495e-23
2.36887,0.708096,0.05,0.00935561,-0.00173451,1.1848e-23
2.36887,0.711135,0.05,0.0094456,-0.00174218,1.29465e-23
2.36887,0.714174,0.05,0.00953954,-0.00174992,-1.08742e-23
2.36887,0.717213,0.05,0.00963562,-0.0017577,-4.82134e-23
2.36887,0.720252,0.05,0.0097288,-0.0017654,-5.965e-23
2.36887,0.723291,0.05,0.00981697,-0.00177296,-2.61878e-23
2.36887,0.72633,0.05,0.00990515,-0.00178051,7.3742e-24
2.36887,0.729369,0.05,0.00999615,-0.00178752,5.94959e-23
2.36887,0.732408,0.05,0.0100872,-0.00179452,1.11618e-22
2.36887,0.735447,0.05,0.0101782,-0.00180152,1.63739e-22
2.36887,0.738486,0.05,0.0102692,-0.00180852,2.15861e-22
2.36887,0.741526,0.05,0.0103627,-0.00181554,2.82111e-22
2.36887,0.744565,0.05,0.0104595,-0.00182258,3.66437e-22
2.36887,0.747604,0.05,0.0105559,-0.0018296,4.41734e-22
2.36887,0.750643,0.05,0.0106449,-0.00183641,3.53778e-22
2.36887,0.753682,0.05,0.0107338,-0.00184321,2.65822e-22
2.36887,0.756721,0.05,0.0108243,-0.0018497,2.22964e-22
2.36887,0.75976,0.05,0.0109158,-0.00185595,2.11773e-22
2.36887,0.762799,0.05,0.0110073,-0.00186221,2.00581e-22
2.36887,0.765838,0.05,0.0110988,-0.00186847,1.89389e-22
2.36887,0.768877,0.05,0.0111905,-0.00187472,1.8196e-22
2.36887,0.771916,0.05,0.0112874,-0.00188092,3.07149e-22
2.36887,0.774955,0.05,0.0113843,-0.00188711,4.32338e-22
2.36887,0.777994,0.05,0.0114771,-0.0018932,6.11893e-22
2.36887,0.781033,0.05,0.0115663,-0.00189919,8.38143e-22
2.36887,0.784072,0.05,0.0116555,-0.00190519,1.06439e-21
2.36887,0.787111,0.05,0.0117469,-0.00191065,9.88285e-22
2.36887,0.79015,0.05,0.0118383,-0.00191609,9.02704e-22
2.36887,0.793189,0.05,0.0119298,-0.00192153,8.17122e-22
2.36887,0.796228,0.05,0.0120212,-0.00192697,7.31541e-22
2.36887,0.799267,0.05,0.0121147,-0.00193235,5.0271e-22
2.36887,0.802306,0.05,0.0122111,-0.00193763,7.43176e-23
2.36887,0.805345,0.05,0.0123074,-0.00194291,-3.54075e-22
2.36887,0.808384,0.05,0.0123975,-0.00194807,-6.42883e-22
2.36887,0.811423,0.05,0.0124864,-0.00195319,-9.02283e-22
2.36887,0.814462,0.05,0.0125755,-0.00195823,-1.12093e-21
2.36887,0.817502,0.05,0.0126662,-0.00196281,-1.11864e-21
2.36887,0.820541,0.05,0.012757,-0.00196739,-1.11636e-21
2.36887,0.82358,0.05,0.0128477,-0.00197197,-1.11408e-21
2.36887,0.826619,0.05,0.0129385,-0.00197654,-1.1118e-21
2.36887,0.829658,0.05,0.0130318,-0.00198096,-9.76497e-22
2.36887,0.832697,0.05,0.0131268,-0.00198528,-7.57223e-22
2.36887,0.835736,0.05,0.0132218,-0.00198959,-5.3795e-22
2.36887,0.838775,0.05,0.0133102,-0.00199383,-4.12094e-22
2.36887,0.841814,0.05,0.013398,-0.00199805,-2.94307e-22
2.36887,0.844853,0.05,0.013486,-0.0020022,-1.87846e-22
2.36887,0.847892,0.05,0.0135754,-0.00200588,-1.45344e-22
2.36887,0.850931,0.05,0.0136647,-0.00200956,-1.02841e-22
2.36887,0.85397,0.05,0.013754,-0.00201324,-6.0339e-23
2.36887,0.857009,0.05,0.0138434,-0.00201692,-1.78366e-23
2.36887,0.860048,0.05,0.0139349,-0.00202038,-1.79376e-24
2.36887,0.863087,0.05,0.0140278,-0.00202371,-2.17562e-24
