y,k,kMean,pPrime2Mean,kPrime2Mean,nutMean,pMean
3.0188261,0.0055834409,0.0055421161,0.0028227657,4.7315569e-10,0.0001025948,0.04305267
3.0197454,0.005277402,0.0052365601,0.002822707,4.4090127e-10,9.023116e-05,0.043054499
3.0206357,0.0049509107,0.0049108072,0.0028226505,4.0707782e-10,7.8821658e-05,0.043056164
3.021498,0.0046048073,0.0045656576,0.002822596,3.7215957e-10,6.8190782e-05,0.043057682
3.0223332,0.0042400804,0.0042021188,0.0028225434,3.3617981e-10,5.8020865e-05,0.043059068
3.023142,0.0038586717,0.003822235,0.0028224925,2.9855384e-10,4.8440609e-05,0.043060319
3.0239254,0.0034645115,0.0034299909,0.0028224435,2.593266e-10,3.9769919e-05,0.043061433
3.0246841,0.0030633432,0.0030311452,0.002822396,2.1915383e-10,3.203048e-05,0.043062419
3.0254189,0.0026624706,0.0026329891,0.00282235,1.7914085e-10,2.5238504e-05,0.043063286
3.0261306,0.0022704207,0.0022440009,0.0028223055,1.4077708e-10,1.9399324e-05,0.043064042
3.0268199,0.0018962861,0.0018731818,0.0028222623,1.0572049e-10,1.4500922e-05,0.043064699
3.0274874,0.001548798,0.0015291335,0.0028222203,7.5458452e-11,1.0507886e-05,0.043065266
3.028134,0.0012353036,0.0012190506,0.0028221793,5.0955144e-11,7.3578423e-06,0.043065759
3.0287602,0.00096090276,0.00094788001,0.0028221394,3.2436338e-11,4.9622242e-06,0.04306619
3.0293667,0.00072797928,0.00071787723,0.0028221004,1.9408515e-11,3.2120853e-06,0.043066573
3.029954,0.00053622873,0.00052865167,0.0028220623,1.0886489e-11,1.9878634e-06,0.04306692
3.0305229,0.00038311263,0.00037762676,0.0028220249,5.7045034e-12,1.1706129e-06,0.043067241
3.0310739,0.00026454958,0.0002607259,0.0028219883,2.7776987e-12,6.519066e-07,0.043067545
3.0316075,0.00017563509,0.00017308054,0.0028219524,1.2463309e-12,3.4043835e-07,0.043067836
3.0321244,0.00011124402,0.00010961947,0.0028219173,5.085662e-13,1.647411e-07,0.043068118
3.0326249,6.645514e-05,6.548228e-05,0.0028218827,1.8495776e-13,7.2610538e-08,0.043068394
3.0331097,3.6803388e-05,3.6263862e-05,0.0028218485,5.8137225e-14,2.8415457e-08,0.043068663
3.0335792,1.8398747e-05,1.8128847e-05,0.0028218148,1.5059935e-14,9.4966277e-09,0.043068926
3.034034,7.9587158e-06,7.8419743e-06,0.0028217812,2.9798515e-15,2.5493502e-09,0.043069186
3.0344744,2.7985823e-06,2.7576556e-06,0.0028217483,3.9774266e-16,4.9902251e-10,0.043069455
3.034901,8.4689018e-07,8.3495217e-07,0.0028217191,3.20851e-17,6.489359e-11,0.043069748
